Symbols
GE
WMT
PTON
JPM
BNTX
BUD
SE
SPG
YMAB
DADA
SPLK
TDOC
DIS
PINS
FB
MSFT
HMI
WDAY
BABA
DOCU
WM
ZNGA
JD
SHOP
QQQ
NTDOY
UBER
NVDA
AMD
TTCF
FUBO
